"name","id","timingValue","timingWindowUpper","timingWindow","uuid:ID","label","timingWindowLower","description"
"TIM1","Timing_1","P2W","","","b98e68c3-0d39-40e0-80c4-6e6e1b86c503","Screening","","Screening timing"
"TIM2","Timing_2","P2D","PT0H","-4..0 hours","dcd3922f-de7f-4460-9544-e1b5a6cc2695","Pre dose","PT4H","Pre dose timing"
"TIM3","Timing_3","P1D","","","678b455c-ed2e-4acf-a05e-eebda6ce6107","Dosing","","Dosing anchor"
"TIM4","Timing_4","P2W","P3D","-3..3 days","f80cdc77-0a14-440a-b069-1682db28064f","Week 2","P3D","Week 2 timing"
"TIM5","Timing_5","P4W","P3D","-3..3 days","47b7bdd2-21a6-417b-b49d-9c058e4c425d","Week 4","P3D","Week 4 timing"
"TIM6","Timing_6","P6W","P3D","-3..3 days","44149d6d-e5e1-474e-b6df-41051db85009","Week 6","P3D","Week 6 timing"
"TIM7","Timing_7","P8W","P3D","-3..3 days","dfeebfa4-d1a0-45f4-80d1-42525c4b0555","Week 8","P3D","Week 8 timing"
"TIM8","Timing_8","P2W","","","1ee19d41-e8c7-4d2f-9cae-e6e305da9402","Week 8 Home","","Week 8 at home timing"
"TIM9","Timing_9","P12W","P4D","-4..4 days","cfe32e47-ca09-42ab-8747-f8f806c9cfa2","Week 12","P4D","Week 12 timing"
"TIM10","Timing_10","P2W","","","3675da1d-6c13-4e67-b1c8-07033fce7526","Week 12 Home","","Week 12 at home timing"
"TIM11","Timing_11","P16W","P4D","-4..4 days","691e79b3-939d-4b6e-b594-6788a5d43c38","Week 16","P4D","Week 16 timing"
"TIM12","Timing_12","P2W","","","75a6d17b-f067-41b7-8e7e-e57a0fc8213a","Week 16 Home","","Week 16 at home timing"
"TIM13","Timing_13","P20W","P4D","-4..4 days","422d3f98-fcbd-4b98-b817-a4b65bd67e49","Week 20","P4D","Week 20 timing"
"TIM14","Timing_14","P2W","","","3516788a-8871-4928-baf5-19d17d0b7d5e","Week 20 Home","","Week 20 at home timing"
"TIM15","Timing_15","P24W","P4D","-4..4 days","2dfb443c-11c9-49a2-9876-2eb2e87dbe99","Week 24","P4D","Week 24 timing"
"TIM16","Timing_16","P26W","P3D","-3..3 days","cf6e192e-a7c6-4408-95be-f48d1d9fb6d6","Week 26","P3D","Week 26 timing"
"TIM17","Timing_17","P1D","","","1eb9a853-2a67-4d37-83f4-00f906dc463e","Adverse Event","","Adverse Event"
"TIM18","Timing_18","P1D","","","8491d71a-5a40-4f99-ad80-d50ac2ac1237","Early Termination","","Early Termination"
"TIM19","Timing_19","PT0M","","","093345c5-844f-4a87-b24c-b0a2f1fe73ed","BP Anchor","","BP Anchor"
"TIM20","Timing_20","PT5M","","","3e56bdf5-9313-4444-95aa-fceb1e500a46","BP while Supine","","BP while Supine"
"TIM21","Timing_21","PT3M","PT0M","-2..0 mins","e8ce839d-93fa-4139-8199-a92e1cd05fb1","BP Stand Up","PT2M","BP Stand Up"
"TIM22","Timing_22","PT0M","","","6d5aa654-61a0-4214-a8e0-31cb99ee4f4d","BP while standing","","BP while standing"
