"bcSynonyms","name","id","bcReference","uuid:ID","label"
"['Temperature']","Body Temperature","BiomedicalConcept_18","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","d380dfa3-f852-47e3-8d3c-06de4ef699e6","Body Temperature"
"['Weight']","Body Weight","BiomedicalConcept_19","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","17a4a827-0177-42eb-b92d-2e6c6fb1ed18","Body Weight"
"['Height']","Body Height","BiomedicalConcept_20","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","065cb0c6-c0cd-420c-b9f4-42ab9e9ad4b4","Body Height"
"['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept_21","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","cf400252-7826-410b-bdbc-8c3e5ad6c3c2","Alanine Aminotransferase Measurement"
"['Albumin']","Albumin Measurement","BiomedicalConcept_22","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","d3226064-71bc-4f86-b4ee-24e8c14f4f30","Albumin Measurement"
"['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept_23","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","61b586ef-c19d-439a-99d7-20031faf5842","Alkaline Phosphatase Measurement"
"['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept_24","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","6d666839-449b-45f9-bc98-2aa68b2604ff","Aspartate Aminotransferase Measurement"
"['Creatinine']","Creatinine Measurement","BiomedicalConcept_25","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","7e80b585-a6ae-4d46-bad5-fa71bcb83a0d","Creatinine Measurement"
"['Potassium', 'K']","Potassium Measurement","BiomedicalConcept_26","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","bf197adc-5c38-4674-ba09-224097acb13c","Potassium Measurement"
"['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept_27","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","39cb454c-72f8-4c06-9873-e6f642110806","Sodium Measurement"
"['Adverse Event Reported Term', 'AETERM']","Adverse Event","BiomedicalConcept_1","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","2153fb46-81c3-4cd6-ae77-c6281faf936f","Adverse Event"
"['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_2","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","55ded5b3-2554-453f-8384-5ed18c92f44d","Systolic Blood Pressure"
