"name","id","uuid:ID","label","text","description"
"ENCOUNTER_START_RULE_1","TransitionRule_1","0d42156d-435f-4eb7-9a50-485586ba3bf3","","Subject identifier",""
"ENCOUNTER_START_RULE_1","TransitionRule_2","ad71e82b-e11c-473b-97e8-5db19e832934","","completion of screening activities",""
"ENCOUNTER_START_RULE_2","TransitionRule_3","3d88cba1-9ce2-4013-b347-7fe06629cf0e","","subject leaves clinic after connection of ambulatory ECG machine",""
"ENCOUNTER_START_RULE_3","TransitionRule_4","746e6d00-6779-4156-8f2f-f00357ce9af8","","subject has connection of ambulatory ECG machine removed",""
"ENCOUNTER_START_RULE_3","TransitionRule_5","bb8e3df7-a2fa-49c8-accc-3e0fd45bf1e3","","Radomized",""
"ENCOUNTER_START_RULE_12","TransitionRule_6","77210b79-fe04-49e0-b36d-a727c25abadd","","End of treatment",""
"ELEMENT_START_RULE_1","TransitionRule_7","d46906e8-25ce-4d59-856c-4fcec2f2a3b1","","Informed consent",""
"ELEMENT_END_RULE_1","TransitionRule_8","55b33715-d2ce-404d-89ea-9bf099a7d586","","Completion of all screening activities and no more than 2 weeks from informed consent",""
"ELEMENT_START_RULE_2","TransitionRule_9","0a91d969-022f-4937-9ed6-ff445c066556","","Administration of first dose",""
"ELEMENT_START_RULE_7","TransitionRule_14","fdfedf49-f738-4c7c-b2be-930bfa5f41f6","","End of last scheduled visit on study (including early termination)",""
"ELEMENT_END_RULE_7","TransitionRule_15","9d974656-4d2c-4eb1-b631-0b60867558f3","","Completion of all specified followup activities (which vary on a patient-by-patient basis)",""
"ELEMENT_START_RULE_3","TransitionRule_10","2926d147-ed59-434a-9cc2-5be974301e63","","Administration of first dose",""
"ELEMENT_START_RULE_4","TransitionRule_11","f19d400d-4fbd-408e-8fee-291af9d800ef","","Randomized",""
"ELEMENT_START_RULE_5","TransitionRule_12","a88674bd-c32a-4827-969b-f00085419c2d","","Administration of first dose (from patches supplied at Visit 4)",""
"ELEMENT_START_RULE_6","TransitionRule_13","a7debcb4-251f-4658-8851-8caef7ed2a4d","","Administration of first dose (from patches supplied at Visit 12)",""
