"sectionNumber","name","id","uuid:ID","sectionTitle","text"
"0","ROOT","NarrativeContent_1","215615b4-0113-4960-8dfc-9ba0f259a58d","Root",""
"0","SECTION 0","NarrativeContent_2","be84497a-8cf0-491b-9ba7-fabc244eed97","TITLE PAGE","<div><usdm:section name=""M11-title-page""></div>"
"1","SECTION 1","NarrativeContent_3","2032f56f-c605-4110-a682-f40d275942f2","PROTOCOL SUMMARY","<div></div>"
"1.1","SECTION 1.1","NarrativeContent_4","3c10b337-3f8d-4e75-a388-1d05728bf032","Protocol Synopsis","<div></div>"
"1.2","SECTION 1.2","NarrativeContent_5","74542dbe-556a-4895-bb58-c69eb3328a70","Trial Schema","<div></div>"
"1.3","SECTION 1.3","NarrativeContent_6","6629adb3-c816-4dd6-8fe5-ee506bd0a1fb","Schedule of Activities","<div></div>"
"2","SECTION 2","NarrativeContent_7","e00826e6-c422-4e41-80fd-8ea26c44bb98","INTRODUCTION","<div></div>"
"2.1","SECTION 2.1","NarrativeContent_8","e6a2b769-af09-4be9-afdd-100e1b292660","Purpose of Trial","<div></div>"
"2.2","SECTION 2.2","NarrativeContent_9","97db3b56-532c-4059-ae9c-1bd4d8281937","Summary of Benefits and Risks","<div></div>"
"3","SECTION 3","NarrativeContent_10","faeb6258-2b2c-48de-9524-2d8cf511fdfc","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>"
"3.1","SECTION 3.1","NarrativeContent_11","2cb8d9ba-b097-4453-a5ac-cc1571dac609","Primary Objectives","<div><usdm:section name=""M11-objective-endpoints""></div>"
"4","SECTION 4","NarrativeContent_12","d1504400-4d34-4bb2-88da-4816d66aee48","TRIAL DESIGN","<div></div>"
"4.1","SECTION 4.1","NarrativeContent_13","34d4dec8-0bba-41e4-87a5-5bd04e0f7499","Description of Trial Design","<div></div>"
"4.1.1","SECTION 4.1.1","NarrativeContent_14","020ba7f6-de2a-496c-a36a-9b6c76207bca","Participant Input into Design","<div></div>"
"4.2","SECTION 4.2","NarrativeContent_15","87a2ff08-2604-4e76-aa1c-ba4ef3f57f62","Rationale for Trial Design","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>"
"4.2.1","SECTION 4.2.1","NarrativeContent_16","1d72146b-11be-4a16-ba3a-4d48db4f2d0e","Rationale for Comparator","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>"
"4.2.2","SECTION 4.2.2","NarrativeContent_17","5d713586-a06c-42af-a3b4-c6f8588a739d","Rationale for Adaptive or Novel Trial Design","<div></div>"
"4.2.3","SECTION 4.2.3","NarrativeContent_18","5ae385f3-3a4d-4290-9d47-bfe2c8be7286","Other Trial Design Considerations","<div></div>"
"4.3","SECTION 4.3","NarrativeContent_19","7476e288-b838-4d37-9710-55a5198eb04f","Access to Trial Intervention After End of Trial","<div></div>"
"4.4","SECTION 4.4","NarrativeContent_20","8ccacb65-1055-48c5-a244-9ce9de4a7310","Start of Trial and End of Trial","<div></div>"
"5","SECTION 5","NarrativeContent_21","a64b1390-e479-452b-99ca-f995f92b1967","TRIAL POPULATION","<div></div>"
"5.1","SECTION 5.1","NarrativeContent_22","60ae11ed-00e8-4d9f-b34c-3deb83043773","Selection of Trial Population","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>"
"5.2","SECTION 5.2","NarrativeContent_23","d3cda9ff-46a5-439f-ac91-6dfe4e9ff73c","Rationale for Trial Population","<div></div>"
