"name","id","uuid:ID","definedProcedures","activityIsConditional","activityIsConditionalReason","label","description"
"Informed consent","Activity_1","4a41264e-9c77-476a-8efc-35dc9e36706c","[]","False","","",""
"Inclusion/exclusion criteria","Activity_2","d879f2e6-cc36-4b69-9dde-c65348789d6c","[]","False","","",""
"Patient number assigned","Activity_3","209c2b81-cf00-4a0e-b623-6714fd4396a4","[]","False","","",""
"Demographics","Activity_4","23007217-51f3-42ff-b33c-1fad76d7c954","[]","False","","Demographics",""
"Hachinski","Activity_5","233c9c53-3401-40d9-890b-78c7e623ea57","[]","False","","Hachinski",""
"MMSE","Activity_6","03da5a1d-5766-4241-a010-09a526dbcf7d","[]","False","","MMSE",""
"Physical examination","Activity_7","e66597ed-ba37-41e0-b32d-b149beccef4b","[]","False","","",""
"Medical history","Activity_8","7003b5f0-d269-4f4a-b61b-b637011f5170","[]","False","","",""
"Habits","Activity_9","e0577d8c-49fd-45dc-ad98-b62524d4c0b2","[]","False","","",""
"Chest X-ray","Activity_10","e86a888b-e7cf-40f0-bd9e-92a49cd19476","[]","False","","",""
"Apo E genotyping","Activity_11","8416783b-cdff-48bc-a10f-b56b509c9df8","[]","False","","",""
"Patient randomised","Activity_12","c23a2541-d35c-4ab2-a49e-f342edc059b3","[]","False","","",""
"Vital signs / Temperature","Activity_13","67aac9be-4524-4141-a086-97df2130bb22","[]","False","","Vital Signs and Temperature",""
"Ambulatory ECG placed","Activity_14","d7d62e82-2c15-4dac-bd95-c9a72e0fdf0d","[]","False","","",""
"Ambulatory ECG removed","Activity_15","e8b6aa56-5f45-4f82-a1b3-ed7382375e27","[]","False","","",""
"ECG","Activity_16","f760c0a4-df39-4442-be99-7d9c2b7d656b","[]","False","","",""
"Placebo TTS test","Activity_17","ce95d9e0-0e38-4cd3-bee1-37416d78debe","[]","False","","",""
"CT scan","Activity_18","05d5bc6b-259e-40b1-a094-72b4c93e1f89","","False","","",""
"Concomitant medications","Activity_19","9f882424-e934-449b-b16a-2375a5faf889","[]","False","","",""
"Hematology","Activity_20","34406540-1119-4521-b3db-9320d1743215","[]","False","","",""
"Chemistry","Activity_21","28c7d7d9-a04a-42da-8aa4-f09ac5bac7ab","[]","False","","",""
"Uninalysis","Activity_22","6a7155f2-74e1-411b-a4d3-594e16160dd7","[]","False","","",""
"Plasma Specimen (Xanomeline)","Activity_23","80ccd65a-d686-4448-adc8-c693df86e5b8","[]","False","","",""
"Hemoglobin A1C","Activity_24","58b562e8-9ee5-49e7-8c46-b8f0b80e3b56","[]","False","","",""
"Study drug","Activity_25","ff6ebd33-9b89-4055-b32c-240d3d6a295c","[]","False","","Study drug record , Medications dispensed, Medications returned",""
"TTS Acceptability Survey","Activity_26","77448b6c-5aa5-4418-8cfd-31f4350b4750","[]","False","","",""
"ADAS-Cog","Activity_27","fbc87f5c-8ce7-4f3d-90a5-212c66acef2c","[]","False","","",""
"CIBIC+","Activity_28","bbffb7ae-7700-4145-b6fe-fe0020b24271","[]","False","","",""
"DAD","Activity_29","f5952c84-69fe-4700-a35d-74d99716785c","[]","False","","",""
"NPI-X","Activity_30","5c1d82bc-2be8-4517-a6dc-cdcffc58bf55","[]","False","","",""
"Adverse events","Activity_31","b9dd15e9-c641-456c-b6d6-d7b7114a97fc","[]","False","","",""
"Check adverse events","Activity_32","986f07fe-792f-41ce-a479-19579110132c","[]","False","","",""
"Supine 5min","Activity_33","237f827c-2adb-4840-946c-78f0e258075b","","False","","Supine for 5 minutes",""
"Blood Pressure Supine","Activity_34","d9450016-9f00-4b0e-b5ac-e1e5d3c47e28","[]","False","","Blood pressure supine",""
"Stand 3min","Activity_35","298be59b-55c2-45c2-bbcf-33f48be61292","","False","","Stand for 3 minutes",""
"Bood Pressure Standing","Activity_36","d3e00c12-548c-49d6-be68-92a3f45c3e21","[]","False","","Blood pressure standing",""
