"name","id","bcPropertyResponseCodes","uuid:ID","bcPropertyEnabled","bcPropertyRequired","label","bcPropertyDatatype"
"Vital Signs Result","BiomedicalConceptProperty_86","[]","20d868b0-9307-4ff1-b26c-0c27b163b126","True","True","Vital Signs Result","decimal"
"Unit of Temperature","BiomedicalConceptProperty_87","","d833c291-9b88-448c-bfb9-50de913de145","True","True","Unit of Temperature","string"
"Vital Signs Location","BiomedicalConceptProperty_88","[]","a30fd0eb-f779-4e05-8c48-e0cead41b951","True","True","Vital Signs Location","string"
"Vital Signs Result","BiomedicalConceptProperty_89","[]","ffb6be7e-ce76-4463-9d4c-7fd71f6f3ae0","True","True","Vital Signs Result","decimal"
"Unit of Weight","BiomedicalConceptProperty_90","","c6b3f1f9-45c7-4fba-a29e-66fe8147dad6","True","True","Unit of Weight","string"
"Vital Signs Result","BiomedicalConceptProperty_91","[]","e7b88bdc-08ca-47e4-9ffa-7635b03ef614","True","True","Vital Signs Result","decimal"
"Unit of Height","BiomedicalConceptProperty_92","","4dd72305-39bb-4edc-b5ba-480db9374275","True","True","Unit of Height","string"
"Laboratory Test Result","BiomedicalConceptProperty_93","[]","ad422385-23cc-48c5-af61-c6964bed0951","True","True","Laboratory Test Result","decimal"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_94","[]","9f403d02-413f-4225-adfb-f8da62531da1","True","True","Laboratory Test Fasting Status","boolean"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_95","[]","1321d880-9dd9-4a96-9ca1-30ea4ec403d0","True","True","Unit of Catalytic Activity Concentration","string"
"Biospecimen Type","BiomedicalConceptProperty_96","[]","c59f9abc-8fa8-4f1b-a848-b00ef91a809d","True","True","Biospecimen Type","string"
"Laboratory Test Result","BiomedicalConceptProperty_97","[]","3e5ca16e-ca59-4386-8878-922f9c307088","True","True","Laboratory Test Result","string"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_98","[]","ea78e27e-c313-4ba1-8cb3-f4ac3ad1326d","True","True","Laboratory Test Fasting Status","boolean"
"Unit of Concentration","BiomedicalConceptProperty_99","[]","6bd52e8e-e3df-422c-80a9-2ed2381fefae","True","True","Unit of Concentration","string"
"Biospecimen Type","BiomedicalConceptProperty_100","[]","83d2a3ee-1b77-498d-aeb1-121133b8f926","True","True","Biospecimen Type","string"
"Laboratory Test Result","BiomedicalConceptProperty_101","[]","4054f6a9-9aa1-41de-93ce-2aeb703c3556","True","True","Laboratory Test Result","decimal"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_102","[]","cbbbf7f2-5a02-4680-bf3f-f96a4c80d170","True","True","Laboratory Test Fasting Status","boolean"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_103","[]","8ba5ba2c-6bab-4204-b5df-5d3ce75b3d1f","True","True","Unit of Catalytic Activity Concentration","string"
"Biospecimen Type","BiomedicalConceptProperty_104","[]","5a6be83f-a7ee-4218-b01e-34b52877d257","True","True","Biospecimen Type","string"
"Laboratory Test Result","BiomedicalConceptProperty_105","[]","a2e29d88-694d-469c-a38f-7e1d9943179c","True","True","Laboratory Test Result","decimal"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_106","[]","30be39fe-c6d4-4d93-a0c4-dc2ed556641a","True","True","Laboratory Test Fasting Status","boolean"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_107","[]","2af4b1b3-b1a3-4652-ae71-57b02e53122e","True","True","Unit of Catalytic Activity Concentration","string"
"Biospecimen Type","BiomedicalConceptProperty_108","[]","cc935239-e2ac-4406-851a-454c9f487d6f","True","True","Biospecimen Type","string"
"Laboratory Test Result","BiomedicalConceptProperty_109","[]","b76f1f04-7065-40e9-a7a7-cd79ea528e6b","True","True","Laboratory Test Result","string"
