"code","id","codeSystemVersion","uuid:ID","decode","codeSystem"
"C98388","Code_1","2023-09-29","f51d8e87-1f0e-4ea9-b786-763d3b7d4efa","Interventional Study","http://www.cdisc.org"
"C15601","Code_2","2023-09-29","3a54596a-922d-48e9-9424-9b78e7943f4b","Phase II Trial","http://www.cdisc.org"
"C132352","Code_5","2023-09-29","96903d3e-5326-46e4-b1eb-e87d66415193","Sponsor Approval Date","http://www.cdisc.org"
"C68846","Code_6","2023-09-29","44039b72-47f0-4143-9746-1cc1765b1cfd","Global","http://www.cdisc.org"
"C99904x3","Code_54","2023-09-29","7574b386-91e7-4207-b7a2-3eff942ea4cb","IRB/IEC Feedback","http://www.cdisc.org"
"C17649","Code_55","2023-09-29","6792d30e-c7af-4662-9875-e044726a73b5","Other","http://www.cdisc.org"
"C41129","Code_57","2023-09-29","4abde73f-5309-4ed7-ad3a-8ab2c92f31fc","Region","http://www.cdisc.org"
"150","Code_56","2020-08","09b3f9e4-0f26-4653-80fb-7448fd33bbf6","Europe","ISO 3166 1 alpha3"
"C25464","Code_59","2023-09-29","2be3e260-31af-4634-9faf-2b6a5b3c61d0","Country","http://www.cdisc.org"
"DNK","Code_58","2020-08","4afc496d-cc4c-40f9-b9e3-9635601b9ad0","Denmark","ISO 3166 1 alpha3"
"PHARMA","Code_3","12","9b930796-21b2-4a05-b05a-c68f5f73da09","Eli Lilly","SPONSOR"
"C70793","Code_60","2023-09-29","83954764-dca2-4a4f-9ad4-a5d2f97fea1c","Clinical Study Sponsor","http://www.cdisc.org"
"USA","Code_61","2020-08","2fcaf839-3891-44fe-aa0e-d5888127287f","United States of America","ISO 3166 1 alpha3"
"C93453","Code_62","2023-09-29","2766369c-fc15-455a-8417-060718c7a2b5","Study Registry","http://www.cdisc.org"
"C49656","Code_120","2023-09-29","1f15f7f4-9683-4311-9201-517a9f4ba9ee","Treatment Study","http://www.cdisc.org"
"C49666","Code_121","2023-09-29","03e17d22-634b-4afa-8565-5633018acc35","Efficacy Study","http://www.cdisc.org"
"C49667","Code_122","2023-09-29","ee301877-762a-4faf-a130-5eb7dd17bb95","Safety Study","http://www.cdisc.org"
"C49663","Code_123","2023-09-29","53c272b3-88c1-4eb8-b8c1-5db0facdb772","Pharmacokinetic Study","http://www.cdisc.org"
"MILD_MOD_ALZ","Code_117","12","8dfca33f-9d54-47b1-99a2-96b631378fed","Mild to Moderate Alzheimer\'s Disease","SPONSOR"
"26929004","Code_118","January 31, 2018","15a435eb-ad6b-4de9-b8df-8a043c565cef","Alzheimer\'s disease","SNOMED"
"C82639","Code_124","2023-09-29","15a25de1-d14e-4007-83a0-6a9976e22280","Parallel Study","http://www.cdisc.org"
"C25716","Code_66","2023-09-29","bdefb8fd-3874-4249-a5d7-1d0e3978f4d0","Visit","http://www.cdisc.org"
"C51282","Code_67","2023-09-29","f56c69b5-e72d-4244-80cc-acc08046dca5","Clinic","http://www.cdisc.org"
"C175574","Code_68","2023-09-29","6c0f4de9-b63e-4a01-9b01-f462bc939282","In Person","http://www.cdisc.org"
"C25716","Code_69","2023-09-29","7b3acc4e-44ed-446a-b212-2d0c1163ee49","Visit","http://www.cdisc.org"
"C51282","Code_70","2023-09-29","2389c0f8-0148-4d9f-b59c-2bb03bc1fa74","Clinic","http://www.cdisc.org"
"C175574","Code_71","2023-09-29","0e46939e-541d-43f1-a532-275e21c77dbf","In Person","http://www.cdisc.org"
"C25716","Code_72","2023-09-29","0df2adb3-9683-461e-9f57-73f0a82bbfe9","Visit","http://www.cdisc.org"
"C51282","Code_73","2023-09-29","5fca487c-be56-42ca-84b9-b8e0d4cbbfa4","Clinic","http://www.cdisc.org"
"C175574","Code_74","2023-09-29","e1092433-ed5a-4525-8d07-7fba0c5c4ed0","In Person","http://www.cdisc.org"
"C25716","Code_75","2023-09-29","5d283ebd-ffaf-4cca-bcb4-a60e3258186c","Visit","http://www.cdisc.org"
"C51282","Code_76","2023-09-29","24b00592-afa7-4b73-bb42-36fe32562a51","Clinic","http://www.cdisc.org"
"C175574","Code_77","2023-09-29","5c747976-5e25-4948-9be5-933b18e645b2","In Person","http://www.cdisc.org"
"C25716","Code_78","2023-09-29","e8451181-d323-41eb-bedf-25c9f63e116f","Visit","http://www.cdisc.org"
"C51282","Code_79","2023-09-29","da5f31ad-5b7c-4a34-aade-c1231b5529d0","Clinic","http://www.cdisc.org"
"C175574","Code_80","2023-09-29","fcc42427-5121-4626-820d-a526d8424f37","In Person","http://www.cdisc.org"
"C25716","Code_81","2023-09-29","cbcd896a-169e-442d-b070-1493101fe2b9","Visit","http://www.cdisc.org"
"C51282","Code_82","2023-09-29","d6bb1c4d-29b9-4ce7-9159-6cf5ef619b7d","Clinic","http://www.cdisc.org"
"C175574","Code_83","2023-09-29","80f6c4dc-fe33-4182-819e-0ee3c6d1084d","In Person","http://www.cdisc.org"
"C25716","Code_84","2023-09-29","fb366eee-7c3a-4a56-a5b4-a88eb78d14b3","Visit","http://www.cdisc.org"
"C51282","Code_85","2023-09-29","078b0d45-211d-4fd7-bcff-4f7fc5bfe093","Clinic","http://www.cdisc.org"
"C175574","Code_86","2023-09-29","df1ad288-6f6a-4415-b8a2-bb2e710eb91e","In Person","http://www.cdisc.org"
"C171537","Code_87","2023-09-29","4591f6c4-a902-4f13-8e2e-67fe83a0a4f1","Telephone Call","http://www.cdisc.org"
"C25716","Code_88","2023-09-29","6967521e-0fcf-452f-b6a7-205004e8f012","Visit","http://www.cdisc.org"
"C51282","Code_89","2023-09-29","8a2e69d5-a7a9-432f-8755-1974075ac2c6","Clinic","http://www.cdisc.org"
"C175574","Code_90","2023-09-29","51d2ce6e-b7a7-4922-b0e8-19266622cdd0","In Person","http://www.cdisc.org"
"C171537","Code_91","2023-09-29","8c2bd8bb-e0cd-4ef7-8025-f64cfb28dcd2","Telephone Call","http://www.cdisc.org"
"C25716","Code_92","2023-09-29","f34b2f5f-6381-4009-8ef5-cdef08791a30","Visit","http://www.cdisc.org"
"C51282","Code_93","2023-09-29","9dfb9f5e-34f5-4f54-99da-46965614ae9c","Clinic","http://www.cdisc.org"
"C175574","Code_94","2023-09-29","5756e43d-aef4-4b15-b10b-e22d30d63833","In Person","http://www.cdisc.org"
"C171537","Code_95","2023-09-29","1621d46e-16ec-4459-bdc9-2f54cb3597e8","Telephone Call","http://www.cdisc.org"
"C25716","Code_96","2023-09-29","d59258f7-5008-473f-ae32-2e816b8b03c9","Visit","http://www.cdisc.org"
"C51282","Code_97","2023-09-29","d341c32a-4fb8-4cd9-8152-749f46be5b4a","Clinic","http://www.cdisc.org"
"C175574","Code_98","2023-09-29","26aaa7b1-29c7-4385-9a54-8372d8ae95e9","In Person","http://www.cdisc.org"
"C171537","Code_99","2023-09-29","c174a484-e2a6-4814-8467-af74434f7e3f","Telephone Call","http://www.cdisc.org"
"C25716","Code_100","2023-09-29","75034caa-4880-4b28-acd8-3db0e2e98dd1","Visit","http://www.cdisc.org"
